epit
sumatrensis
tracyi
tweedyi
umbrosus
uniflorus
vagus
africanus
dinteri
ericoides
giessii
kingesii
luederitzianus
merxmuelleri
pauperrimus
purpureus
behrii
cupularis
squamata
confertiflorum
confertiflorum
lanatum
lanatum
lanatum
lanatum
nevinii
pringlei
staechadifolium
wallacei
commersonii
alternifolia
remifolia
smithii
glossanthus
ramosum
ramosum
tenellum
marginatum
angustifolia
bicostata
conyzoides
breweri
engelmannii
collinus
fordianus
gymnocephalus
involucratus
japonicus complex
sphaericus
traversii
altissimum
cannabinum
cannabinum
cannabinum
capillifolium
chinense
chinense
compositifolium
fistulosum
galeottii
havanense
hyssopifolium
leucolepis
liebmannii
maculatum
odoratum
peninsulare
perfoliatum
purpureum
rugosum
serotinum
sessilifolium
conspicua
hemispherica
integrifolia
paludosa
radulina
schreberi
sibirica
spectabilis
abrotanifolius
annuus
arabicus
athanasiae
brevipapposus
chrysanthemoides
dregeanus
imbricatus
indecorus
lateriflorus
laxus
leiocarpus
linearis
linifolius
multifidus
namibensis
othonnoides
speciosissimus
subcarnosus
tenuissimus
virgineus
wageneri
caroliniana
galetorum
gymnospermoides
occidentalis
catipes
meredithae
nubigena
planchonii
retusa
flexuosa
reticulata
aculeata
aethiopica
alba
amelloides
amoena
anthemidodes
australis
bechuanica
clavipilosa
echinata
elongata
filifolia
filifolia
filifolia
filifolia
fruticosa
fruticosa
heterophylla
hirsuta
hirta
hyssopifolia
minima
muricata
muricata
nordenstamii
odorata
smaragdina
uliginosa
anatolica
arvensis
californica
contracta
eriocephala
gallica
lutescens
minima
petro-ianii
pygmaea
pyramidata
tyrrhenica
vulgaris
wagenitziana
anomala
bidentis
cronquistii
pringlei
ramosissima
trinervia
pycnocephala
cernua
glutinosa
laurifolia
pringlei
resinosa
albidiformis
dichotoma
aristata
comosa
multiceps
parryi
picta
pinnatifida
pulchella
spathulata
suavis
tomentosa
tomentosus
cana
linosyris
sedifolia
sedifolia
villosa
stenolepis
ciliata
parviflora
quadriradiata
americana
antarctica
berteroana
calviceps
filaginea
malvinensis
purpurea
simplicicaulis
spiciformis
bipinnatum
schinzii
jurineifolia
krebsiana
krebsiana
krebsiana
krebsiana
leiepoda
lichtensteinii
pinnata
schenckii
englerana
rigida
canescens
ambigua
aurantiaca
cordata
jamesoni
jamesonii
linnaei
piloselloides
viridiflora
wrightii
glaber
hybridus
tenuifolia
coronaria
segetum
bidens
tannensis
affine
californicum
canescens
caucasicum
cheiranthifolium
diamantinense
elegans
gaudichaudianum
gayanum
glandulosum
heterotrichum
hoppeanum
hoppeanum
hypoleucum
indutum
japonicum
luteoalbum
norvegicum
obtusifolium
palustre
purpureum
stramineum
supinum
sylvaticum
uliginosum
acicularis
angianthoides
arachnoidea
cassiniana
drummondii
eriocarpa
foliata
tenuissima
arborescens
hypoleuca
hypoleuca
obtusata
purpusii
smithii
benthamiana
ceruanoides
maderaspatana
monochaeta
anethifolia
camporum
camporum
camporum
camporum
ciliata
glutinosa
hirsutula
hirsutula
integrifolia
inuloides
lanceolata
oxylepis
robusta
squarrosa
stricta
stricta
subalpina
subalpina
tarapacana
abyssinica
scabra
scabra
armeniaca
tournefortii
corymbosa
corymbosa
cordifolia
polycephala
rueppellii
californica
gayana
microcephala
sarothrae
texana
scoparia
micrantha
capillaris
oaxacana
glutinosum
cusimbua
scandens
valeriana
cassiniiformis
punctulata
tatei
trichophylla
thunbergii
greggii
angustifolius
angustifolius
angustifolius
anthylloides
baylahuen
bezanillanus
canescens
cerberoanus
cerberoanus
chrysanthemifolius
ciliatus
croceus
deserticola
donianus
foliosus
glutinosus
grindelioides
hirtellus
humilis
integerrimus
ischnos
litoralis
macrocephalus
mucronatus
multifolius
parishii
parvifolius
paucidentatus
philippii
pinnatifidus
platylepis
poeppigianus
pulchellus
punctatus
racemosus
remyanus
retinervius
schumannii
setulosus
squarrosus
stolpii
taeda
undulatus
valparadisiacus
velutinus
venetus
villanuevae
colwillii
brickellioides
squarrosa
squarrosa
rhagadioloides
rhagadioloides
amarum
